Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
West,Silt,Barley,525.5781499027406,34.265678508747065,0,1,Sunny,86,3.670994182200495
East,Clay,Wheat,249.7534641041896,17.377402781834228,0,0,Sunny,83,1.1199274344466006
East,Sandy,Rice,201.67798889486264,23.651623531114996,0,1,Cloudy,61,3.226866821614636
North,Peaty,Soybean,775.1737017505022,22.381515221131203,0,1,Sunny,62,5.569329875867662
East,Sandy,Rice,615.5242611869276,27.120042497441705,1,0,Cloudy,125,4.395665915236759
South,Sandy,Rice,774.6311475535196,34.516930323835616,1,0,Sunny,77,5.690078738834987
East,Loam,Cotton,594.7239626610854,25.41718635563936,1,0,Rainy,125,4.23643404603244
East,Peaty,Barley,319.126326328676,33.93776601714502,0,1,Sunny,81,3.842868539567776
South,Sandy,Rice,150.87470565269032,36.47499595419235,1,1,Cloudy,63,3.46720009178878
South,Silt,Maize,917.3454809565922,19.808376108711304,1,0,Cloudy,83,6.718439903035616
East,Clay,Cotton,378.8673996479578,35.42722385445013,0,0,Cloudy,97,2.3617032386171624
South,Silt,Barley,228.979180334638,22.50549213056107,1,1,Sunny,86,4.056955050759992
West,Chalky,Soybean,108.53087959172468,38.120255677811855,1,1,Sunny,121,4.273473525386403
South,Chalky,Rice,209.08688426960637,27.17171607128681,1,1,Sunny,83,4.385456535728513
North,Clay,Maize,364.9023989422804,21.535774510950382,1,0,Rainy,91,3.2230584613856665
East,Loam,Cotton,446.7644929508896,16.702884030798828,0,1,Rainy,93,2.833883801084455
West,Clay,Rice,781.2622066326961,26.04425426418877,0,1,Cloudy,109,4.421838220137365
West,Loam,Soybean,214.542429538421,15.791607497032706,1,1,Cloudy,74,4.393045549510575
West,Silt,Barley,786.5376586221661,39.56478398666034,1,1,Rainy,98,6.848670275751262
South,Clay,Soybean,720.9298088304089,38.86289264466228,1,0,Rainy,117,6.332905002011822
South,Silt,Barley,265.3518618272617,21.141566281056903,0,0,Rainy,91,2.182339513807685
West,Peaty,Maize,851.6228804045908,21.432874079910317,1,1,Sunny,108,7.450725370954146
North,Loam,Barley,577.4617937620833,39.61967644839504,1,0,Rainy,73,5.435263513947496
South,Loam,Soybean,516.6855504044973,29.504147476549363,0,0,Cloudy,149,4.654436936333118
East,Loam,Maize,510.5337862088837,33.89340207444286,1,1,Rainy,69,5.506782714490958
East,Silt,Barley,483.89378731222666,29.15970114270044,1,0,Cloudy,111,4.700910394590731
North,Chalky,Maize,662.602776252651,18.8250894392744,0,1,Sunny,74,5.210348637530561
East,Clay,Rice,119.4425034340836,25.96134542967608,0,0,Cloudy,60,1.81380250406362
North,Clay,Soybean,121.14698030610124,38.77484421678958,0,0,Rainy,137,1.2489593783854094
North,Sandy,Cotton,266.8075930400874,20.034005082315204,0,0,Cloudy,91,2.103157568871023
West,Sandy,Maize,452.83937278725546,38.13873628215365,1,0,Cloudy,114,3.631761719931737
North,Loam,Wheat,279.4058912705261,26.690614850371425,1,0,Sunny,109,3.511061971786561
North,Peaty,Cotton,403.27092534096136,39.64348164171925,1,1,Rainy,122,6.099418660917055
South,Chalky,Rice,468.8137278452577,29.73433619704378,0,1,Cloudy,140,3.864526884469877
West,Sandy,Wheat,422.5813305786861,33.92367699520267,1,0,Cloudy,136,4.003351649960736
South,Silt,Maize,170.22086147449704,22.491991920066248,1,0,Cloudy,94,2.102443513515374
North,Sandy,Wheat,654.1351124421167,24.52421691758994,1,0,Cloudy,76,5.296712508142669
East,Peaty,Cotton,625.8302129492981,19.277802884214918,1,1,Sunny,77,6.265937482954229
North,Chalky,Soybean,268.92126822510784,15.510276518591398,1,0,Sunny,129,2.428543494008733
South,Chalky,Wheat,227.33452214918012,23.316007326251807,1,0,Sunny,127,2.762377103506075
East,Sandy,Wheat,953.5482473207304,28.59864718944268,0,0,Sunny,127,5.701475764005703
North,Clay,Maize,379.39481821813786,18.812235186648884,0,0,Cloudy,67,2.2732224811590696
North,Loam,Wheat,176.31105541587374,30.2980351742598,1,0,Sunny,140,3.473115388889916
North,Sandy,Wheat,660.9166972522044,24.59287646074518,0,1,Rainy,126,5.026592157046285
West,Peaty,Barley,847.0621325478659,32.51413667865313,0,0,Sunny,84,4.104739592037871
East,Silt,Rice,440.7485177656666,16.465130844147755,1,1,Sunny,83,4.039658425713678
North,Loam,Rice,747.1289590524145,33.92739194183064,0,0,Cloudy,100,4.9454793635950525
West,Sandy,Rice,916.7118297219909,22.574773557535387,1,0,Cloudy,98,6.429989695477867
East,Clay,Soybean,890.6163800861369,32.40071432119118,1,1,Sunny,121,8.643968748008568
East,Peaty,Soybean,742.5505050607584,18.900485128487887,0,1,Sunny,117,5.891347939874593
East,Clay,Wheat,982.3772545997926,38.61210381480846,1,0,Rainy,129,8.206880918566172
North,Peaty,Rice,150.10498641081432,21.994912112911155,1,1,Sunny,109,3.5833336757418537
West,Sandy,Soybean,919.9375449001908,23.5956377904329,1,0,Rainy,103,6.7631327170908815
West,Loam,Maize,816.8039488704686,24.751918505968497,1,1,Cloudy,72,6.841704895859983
East,Chalky,Rice,488.2050188829678,22.956807159552053,1,1,Cloudy,70,5.6540527085866925
West,Silt,Wheat,204.65015033015595,23.934931603179397,1,1,Sunny,113,4.561131948385172
South,Clay,Rice,340.2545968111264,16.175085331528415,0,1,Sunny,91,4.287743529039586
South,Loam,Soybean,732.7239287208442,18.729584227513264,1,0,Rainy,126,4.634614096516575
South,Clay,Rice,659.4605587782405,37.80941711974317,0,0,Rainy,104,3.603788012715011
East,Silt,Maize,815.9158128633956,17.35865536027054,1,0,Sunny,98,5.5220632899587
South,Clay,Cotton,157.50785108368757,28.878634558485587,0,1,Rainy,97,2.490522703228262
South,Silt,Barley,399.54728006413694,16.794869309666847,0,1,Cloudy,122,3.599775617530398
North,Clay,Barley,829.3471452429562,17.12713011985135,1,1,Sunny,102,7.156327103011424
North,Silt,Maize,571.8946183299738,19.03330935549904,0,1,Sunny,114,4.20747667194644
South,Chalky,Soybean,761.7630681094843,35.952398716443724,1,1,Sunny,146,6.413988290873616
West,Peaty,Rice,458.5202294318009,31.075627059028974,0,0,Sunny,83,3.152159936821081
South,Sandy,Cotton,406.8200743432821,36.55628069515235,0,0,Cloudy,80,2.2839663349596453
West,Sandy,Soybean,772.8380470681742,38.79919834469922,0,1,Rainy,125,6.8987487545343456
South,Loam,Cotton,650.5901611271303,29.92099777793173,0,1,Rainy,81,4.590547568180287
East,Peaty,Barley,633.436376780453,34.937042342156154,0,1,Cloudy,95,5.636823215787581
South,Clay,Rice,659.9557452596913,23.8987774396018,1,1,Sunny,130,6.067709628311637
South,Clay,Soybean,717.968399475576,38.28285362732855,1,0,Cloudy,98,5.365501513554212
South,Sandy,Rice,282.5673384878246,17.065638826497125,1,0,Sunny,80,3.4268896556728694
East,Chalky,Maize,173.05615223963378,21.756723058752648,1,0,Sunny,74,3.896618157519255
